,Batch,Target,Project,fb-193-tk-010-oe-2022,fb-193-tk-010-oe-2022-reordered,fb-195-tk-013-oe-2022-interchange-replace-cache,fb-195-tk-013-oe-2022-interchange-replace-cache-switching,fb-196-ic-0318-oe-2022,fb-196-ic-0318-oe-2022-crit
0,opt-geo-batch-108,19095393-10,001_fit-all,85.713,85.713,85.713,85.713,46.043,85.713
3,opt-geo-batch-109,19095414-4,001_fit-all,973.288,678.567,678.565,678.565,678.593,678.565
6,opt-geo-batch-113,19095588-8,001_fit-all,800.755,488.803,488.803,488.803,488.806,488.803
9,opt-geo-batch-115,19095648-2,001_fit-all,241.176,592.293,241.176,241.176,241.209,241.176
12,opt-geo-batch-123,19095890-3,001_fit-all,432.754,859.172,424.808,424.808,424.811,424.808
15,opt-geo-batch-125,19095964-29,001_fit-all,557.615,557.896,557.836,557.836,527.51,557.836
18,opt-geo-batch-127,95602811-22,001_fit-all,828.404,371.009,828.402,828.402,828.471,828.402
21,opt-geo-batch-131,95602486-3,001_fit-all,169.287,395.607,169.287,169.287,169.288,169.287
24,opt-geo-batch-132,110312272-7,001_fit-all,44.947,44.947,44.947,44.947,19.051,44.947
27,opt-geo-batch-132,110312279-12,001_fit-all,19.782,19.782,19.782,19.782,11.507,19.782
30,opt-geo-batch-134,110312364-2,001_fit-all,35.291,35.291,35.291,35.291,24.732,35.291
33,opt-geo-batch-134,110312437-22,001_fit-all,536.681,831.782,536.684,536.684,541.105,536.684
36,opt-geo-batch-136,110312530-8,001_fit-all,796.962,1886.145,1886.142,1886.142,1885.838,1886.142
39,opt-geo-batch-142,1760118-25,001_fit-all,32.291,32.291,32.291,32.291,5.104,32.291
42,opt-geo-batch-142,1760122-29,001_fit-all,37.563,37.565,37.563,37.563,10.582,37.563
45,opt-geo-batch-158,1760623-13,001_fit-all,52.588,52.588,52.588,52.588,10.515,52.588
48,opt-geo-batch-160,1760689-13,001_fit-all,10.233,10.233,10.233,10.233,2.921,10.233
51,opt-geo-batch-162,1760764-24,001_fit-all,14.742,14.742,14.742,14.742,6.441,14.742
54,opt-geo-batch-162,1760765-26,001_fit-all,16.341,16.341,16.341,16.341,4.872,16.341
57,opt-geo-batch-165,1760859-25,001_fit-all,184.378,184.378,184.378,184.378,8.331,184.378
60,opt-geo-batch-166,1760895-28,001_fit-all,16.898,16.898,16.898,16.898,5.847,16.898
63,opt-geo-batch-181,36784452-26,001_fit-all,85.997,85.997,85.997,85.997,43.28,85.997
66,opt-geo-batch-19,18434757-17,001_fit-all,1352.305,2589.068,1744.044,1744.044,1743.914,1744.044
69,opt-geo-batch-20,18434815-6,001_fit-all,83.565,83.565,126.754,126.754,126.789,126.754
72,opt-geo-batch-20,18434816-9,001_fit-all,71.022,71.022,169.281,169.281,169.253,169.281
75,opt-geo-batch-21,18434921-7,001_fit-all,1805.074,1389.509,1805.075,1805.075,1805.138,1805.075
78,opt-geo-batch-28,18435721-28,001_fit-all,333.911,333.91,333.91,333.91,320.96,333.91
81,opt-geo-batch-36,18436551-7,001_fit-all,20.981,20.981,20.981,20.981,9.047,20.981
84,opt-geo-batch-48,18437974-17,001_fit-all,2097.572,442.1,442.121,442.121,441.091,442.121
87,opt-geo-batch-5,18433236-22,001_fit-all,654.976,819.474,654.976,654.976,654.977,654.976
90,opt-geo-batch-51,18438135-12,001_fit-all,794.575,1409.209,794.575,794.575,794.554,794.575
93,opt-geo-batch-51,18438149-18,001_fit-all,100.882,108.452,100.882,100.882,100.882,100.882
96,opt-geo-batch-58,18438954-4,001_fit-all,661.058,661.059,661.06,661.06,9.408,661.06
99,opt-geo-batch-64,18439704-15,001_fit-all,17.706,17.706,17.706,17.706,7.98,17.706
102,opt-geo-batch-71,19094129-20,001_fit-all,470.715,470.715,117.418,117.418,117.415,117.418
105,opt-geo-batch-75,19094250-10,001_fit-all,480.939,150.779,480.94,480.94,480.97,480.94
108,opt-geo-batch-78,19094395-8,001_fit-all,327.768,327.768,862.083,862.083,862.083,862.083
111,opt-geo-batch-79,19094430-15,001_fit-all,119.851,119.701,120.066,120.066,101.136,120.066
114,opt-geo-batch-79,19094441-17,001_fit-all,84.345,84.096,84.232,84.232,69.599,84.232
117,opt-geo-batch-83,19094564-15,001_fit-all,662.573,411.628,411.628,411.628,411.699,411.628
120,opt-geo-batch-83,95602606-12,001_fit-all,352.848,609.252,609.256,609.256,609.277,609.256
123,opt-geo-batch-91,19094843-7,001_fit-all,523.362,1019.271,523.364,523.364,523.564,523.364
126,opt-geo-batch-96,19095011-20,001_fit-all,1561.274,2592.095,1561.278,1561.278,1561.667,1561.278
129,opt-geo-batch-96,19095014-23,001_fit-all,239.718,1177.13,239.723,239.723,239.679,239.723
